company_name,A money,A date,B money,B date,C money,C date,D money,D date,E money,E date,F money,F date,G money,G date,H money,H date,IPO money,IPO Date,Seed Money,Seed Date,Undisclosed Money,Undisclosed Date,Non series Money,Non Series Date,,
20x200,23200000,21/02/10,,,,,,,,,,,,,,,0,0,,,,,,0,23200000,21/02/10
21 Inc,10100000,17/11/13,,,,,,,,,,,,,,,0,0,,,,,10/03/15,928000000,938100000,04/12/14
2100b Sausalito LLC.,,,,,,,,,,,,,,,,,0,0,,01/01/13,,,,0,,01/01/13
21Cake Food Co.,,,,,,,,,,,,,,,,,0,0,,,,,22/01/10,2928256,2928256,22/01/10
21Diamonds,,,,,12739014,15/11/12,,,,,,,,,,,0,0,,,,,,0,12739014,15/11/12
21GRAMS,,,,,,,,,,,,,,,,,0,0,,,,,03/04/06,2580000,2580000,03/04/06
21viaNet,,,,13/02/08,,14/01/11,,,,,,,,,,,100000000,39883,,,,,04/12/14,888000000,988000000,08/12/12
22seeds,,,,,,,,,,,,,,,,,0,0,250000,15/10/13,,,,0,250000,15/10/13
2345.com,,,,01/10/10,,,,,,,,,,,,,0,0,,,,,,0,,01/10/10
2359 Media,615000,11/01/11,,,,,,,,,,,,,,,0,0,,,,,,0,615000,11/01/11
23andMe,45000000,03/10/07,25200000,18/06/09,75000000,23/11/10,347699400,21/12/12,460000000,03/07/15,,,,,,,100000,37196,,,,,,0,954399400,16/05/11
23press,,,,,,,,,,,,,,,,,0,0,150000,15/08/11,,,,0,150000,15/08/11
24 Media Network,,,,,,,,,,,,,,,,,0,0,,,370902,01/09/08,,0,370902,01/09/08
24 Quan,,01/11/11,,,,,,,,,,,,,,,0,0,,,,,,0,,01/11/11
24/7 Card,,25/04/11,,,,,,,,,,,,,,,0,0,,,,,,0,,25/04/11
247 Techies,,,,,,,,,,,,,,,,,0,0,1800000,05/11/12,,,,0,1800000,05/11/12
24fab,,,,,,,,,,,,,,,,,0,0,,,,,14/02/15,0,,14/02/15
24h00,,,,,,,,,,,,,,,,,0,0,,01/08/06,,,,0,,01/08/06
24i,,,,,,,,,,,,,,,,,0,0,,,,,10/04/15,2000000,2000000,10/04/15
24M Technologies,48000000,16/08/10,,,,,,,,,,,,,,,0,0,,,,,,0,48000000,16/08/10
24me,,,,,,,,,,,,,,,,,0,0,,02/05/14,,,,0,,02/05/14
24med Sp,,,,,,,,,,,,,,,,,0,0,,,,,01/01/08,0,,01/01/08
24PageBooks,,,,,,,,,,,,,,,,,0,0,50000,24/05/11,,,,0,50000,24/05/11
24Symbols,,,,,,,,,,,,,,,,,0,0,2942768.889,01/02/12,,,,0,2942768.889,01/02/12
24tidy,1692088,14/07/14,,,,,,,,,,,,,,,0,0,,,,,27/12/13,164473,1856561,05/04/14
24x7 Learning,,,,,,,,,,,,,,,,,0,0,,,,,06/11/07,4000000,4000000,06/11/07
25eight,,,,,,,,,,,,,,,,,0,0,25000,26/01/10,,,,0,25000,26/01/10
265 Network,,,,,,,,,,,,,,,,,0,0,,,,,01/12/04,2000000,2000000,01/12/04
27 bards,,,,,,,,,,,,,,,,,0,0,,06/11/12,,,,0,,06/11/12
27 Perry,,,,,,,,,,,,,,,,,0,0,118000,17/05/12,,,,0,118000,17/05/12
280 North,,,,,,,,,,,,,,,,,0,0,,01/01/08,,,01/03/08,750000,750000,15/02/08
29West,,,,,,,,,,,,,,,,,0,0,,,,15/03/07,,0,,15/03/07
2AdPro Media Solutions,,31/03/08,,,,,,,,,,,,,,,0,0,,,,,,0,,31/03/08
2C2P,1000000,01/01/11,2000000,28/01/14,14000000,27/04/15,,,,,,,,,,,0,0,,,,,,0,17000000,05/12/13
2can,4000000,01/09/12,15000000,31/03/14,,,,,,,,,,,,,0,0,,,,,18/11/15,3900000,22900000,18/06/14
2Checkout,120000000,16/07/14,,,,,,,,,,,,,,,0,0,,,,,,0,132000000,05/12/14
2DHeat,,,,,,,,,,,,,,,,,0,0,,,,,24/10/14,200707.5611,264933.5611,24/10/14
2Duche,,,,,,,,,,,,,,,,,0,0,,,,16/07/09,,0,,16/07/09
2heuresavant,,,,,,,,,,,,,,,,,0,0,33457,01/07/10,,,,0,33457,01/07/10
2houses,1720204,09/11/12,,,,,,,,,,,,,,,0,0,106626,08/08/11,,,,0,1826830,09/06/12
2lemetry,,,,,,,,,,,,,,,,,0,0,,,,,09/01/15,4000000,4000000,09/01/15
2mee,,,,,,,,,,,,,,,,,0,0,,,100000,16/04/15,,0,100000,16/04/15
2Morrow Inc,,,,,,,,,,,,,,,,,0,0,,,,,,0,50000,16/03/15
2nd Screen Games,,,,,,,,,,,,,,,,,0,0,,01/12/12,,,,0,,01/12/12
"2nd Story Software, Inc.",,,,,,,,,,,,,,,,,0,0,,,,,30/03/05,85000000,85000000,30/03/05
2nd Watch,,,,,76000000,29/05/14,,,,,,,,,,,0,0,,,,,,0,76000000,29/05/14
2NDNATURE,,,,,,,,,,,,,,,,,0,0,20000,31/03/13,,,,0,20000,31/03/13
2Peer (Qlipso),,,,,,,,,,,,,,,,,0,0,,,,15/08/07,,0,,15/08/07
2pm Technologies,,,3167062,01/11/02,,,,,,,,,,,,,0,0,,,,,,0,3167062,01/11/02
2RedBeans,,,,,,,,,,,,,,,,,0,0,13800000,15/10/14,,,,0,13800000,15/10/14
2sms,,,,,,,,,,,,,,,,,0,0,,,,,01/11/07,939000,939000,01/11/07
2theloo,,,,,,,,,,,,,,,,,0,0,,,,,10/07/13,0,,10/07/13
2U Inc.,30000000,21/06/09,80000000,05/02/10,195000000,10/03/11,202400000,25/10/12,,,,,,,,,0,0,,,,,,0,507400000,16/07/11
2Web Technologies,,,,,,,,,,,,,,,,,0,0,,,,,01/12/01,0,,01/12/01
2Wire,,,20000000,01/11/99,214000000,01/04/00,549000000,24/10/01,247500000,15/11/02,,,,12/05/03,,,0,0,,,,,,0,1030500000,06/12/01
3 day Blinds,,,,,,,,,,,,,,,,,0,0,,,,13/03/98,,0,,13/03/98
3 Kinds of Ice,,,,,,,,,,,,,,,,,0,0,,10/01/15,,,,0,,10/01/15
3 Minute,,,,,,,,,,,,,,,,,0,0,,,,,12/02/15,0,,12/02/15
3-V Biosciences,,,90000000,10/07/09,40000000,21/06/13,114000000,30/12/14,,,,,,,,,0,0,,,,,19/05/12,56178000,300178000,10/09/12
30 Second Showcase,,,,,,,,,,,,,,,,,0,0,25000,20/05/13,,,,0,25000,20/05/13
33Across,1284560,22/04/10,27000000,05/01/11,117900000,19/07/12,,,,,,,,,,,0,0,3000000,13/03/09,,,,0,149184560,10/05/11
360Commerce,,,,,48000000,29/10/03,,,,,,,,,,,0,0,,,,,,0,48000000,29/10/03
"360fly, Inc.",,,53400000,11/08/14,,,,,,,,,,,,,0,0,,,,,,0,53400000,11/08/14
360Guanxi,,,,,,,,,,,,,,,,,0,0,,,,,01/06/09,5000000,5000000,01/06/09
360incentives.com,,,,,,,,,,,,,,,,,0,0,,,,,15/01/13,15300000,15300000,15/01/13
360Learning,,,,,,,,,,,,,,,,,0,0,3087840,30/09/13,,,,0,3087840,30/09/13
